Dialog No.,Gender,Education,a,b,R^2,RMSE,MAE,NRMSE
4347,3,3-1,0.311607,0.93538,0.815101,0.038187,0.031224,0.147724
3509,2,3-2,0.287683,0.93607,0.908444,0.021908,0.01717,0.083252
4071,2,2-2,0.306573,0.936396,0.800913,0.038564,0.030918,0.15075
2450,2,3-2,0.321241,0.937133,0.87999,0.03153,0.022653,0.115609
3543,3,3-2,0.285263,0.937137,0.854812,0.02738,0.020702,0.116663
3381,2,2-2,0.322368,0.938585,0.822046,0.039918,0.035346,0.14684
2370,2,3-2,0.326225,0.938829,0.728699,0.053106,0.042093,0.198316
4133,3,3-2,0.34558,0.939842,0.845801,0.041557,0.03522,0.137657
3417,2,3-2,0.326952,0.941321,0.869196,0.034133,0.031593,0.120779
2293,2,2-2,0.328644,0.942106,0.786497,0.046122,0.040006,0.166487
3309,2,3-3,0.305113,0.942728,0.875635,0.028957,0.020562,0.111372
2537,2,2-2,0.310698,0.942938,0.818945,0.036975,0.031523,0.142968
3763,2,2-2,0.288132,0.943004,0.909654,0.021532,0.017364,0.08613
4792,3,3-2,0.313658,0.943219,0.861706,0.032464,0.03069,0.114813
4181,3,2-2,0.3292,0.943924,0.795072,0.045007,0.040596,0.161367
4334,3,3-2,0.322675,0.944689,0.791203,0.04368,0.035741,0.160823
2488,1,3-2,0.292113,0.94543,0.845818,0.028925,0.023715,0.115051
2741,1,2-2,0.325183,0.945592,0.838901,0.037959,0.034871,0.13602
3809,2,2-2,0.302953,0.945737,0.856488,0.030547,0.027336,0.118368
4130,2,2-2,0.305749,0.945784,0.874533,0.029132,0.022786,0.111463
2981,2,3-2,0.303533,0.945874,0.871185,0.029019,0.02236,0.111435
3074,1,3-2,0.318496,0.946595,0.819831,0.038625,0.034421,0.144077
2287,1,2-2,0.324092,0.947262,0.78291,0.045014,0.036101,0.165619
4159,3,3-2,0.308668,0.948568,0.765135,0.042506,0.032089,0.170024
2744,2,2-2,0.303187,0.94987,0.756654,0.04044,0.031558,0.164329
2842,2,2-2,0.30858,0.951644,0.866259,0.030557,0.023895,0.113895
4697,1,3-3,0.327431,0.951966,0.849903,0.036655,0.033742,0.130582
2962,3,3-2,0.325396,0.952452,0.800512,0.042784,0.035631,0.155661
2709,1,3-2,0.312042,0.952855,0.785972,0.040142,0.031668,0.155472
3500,2,2-2,0.312327,0.952953,0.813877,0.03762,0.028882,0.146718
4840,2,2-2,0.357231,0.954659,0.762637,0.057269,0.050352,0.191556
2753,2,2-2,0.312331,0.954739,0.857621,0.032009,0.027044,0.119579
3663,2,3-2,0.314628,0.955168,0.882341,0.029273,0.024709,0.107096
4603,3,3-2,0.351327,0.95519,0.83179,0.044644,0.038558,0.147521
3788,1,3-2,0.369337,0.956503,0.727983,0.066468,0.059525,0.213646
4720,2,3-2,0.343971,0.956585,0.88698,0.033883,0.031659,0.105522
3133,1,3-2,0.310986,0.956591,0.901956,0.025879,0.02151,0.093888
2616,3,3-2,0.306955,0.957661,0.796897,0.037311,0.02835,0.148
4154,3,3-2,0.350179,0.95809,0.832249,0.044165,0.031216,0.147783
3803,2,3-3,0.32377,0.958857,0.813205,0.040516,0.035506,0.1439
3518,3,2-2,0.26528,0.959393,0.982676,0.007584,0.006141,0.030653
2924,2,3-2,0.303141,0.959965,0.786933,0.036818,0.028932,0.146818
2554,3,3-2,0.325899,0.960538,0.79645,0.042774,0.037758,0.150638
3946,2,3-1,0.33517,0.961613,0.805782,0.044262,0.038923,0.156218
4184,2,2-2,0.311215,0.963026,0.866785,0.030415,0.023772,0.112466
2717,3,3-2,0.304164,0.963074,0.826675,0.032866,0.026994,0.130248
3457,1,3-2,0.361923,0.963762,0.895133,0.035443,0.032853,0.107905
4707,3,3-3,0.312705,0.963825,0.858339,0.031747,0.026485,0.119323
3170,1,2-2,0.326774,0.964253,0.861666,0.03447,0.023431,0.122671
3345,3,2-2,0.308452,0.965133,0.814619,0.035715,0.026718,0.140039
2260,2,2-2,0.276535,0.96559,0.950599,0.013588,0.011768,0.052314
3283,2,2-2,0.326282,0.965679,0.901106,0.028389,0.027485,0.09721
2558,1,3-2,0.335715,0.965999,0.882873,0.032969,0.027559,0.110448
