Dialog No.,Gender,Education,a,b,R^2,RMSE,MAE,NRMSE
3247,2,3-1,0.382372,1.115643,0.96483,0.019601,0.018147,0.05501
2471,2,3-3,0.383165,1.116014,0.954276,0.022546,0.020643,0.062434
2426,2,3-2,0.387039,1.117095,0.907795,0.032348,0.029004,0.092252
2953,1,3-2,0.347528,1.117495,0.941143,0.018942,0.015364,0.058011
3774,1,3-2,0.39938,1.117931,0.802617,0.053648,0.035883,0.156066
2502,2,2-2,0.353664,1.118682,0.941681,0.019855,0.01597,0.059566
2743,1,3-2,0.353471,1.119362,0.973282,0.014207,0.011279,0.04311
2926,3,3-3,0.371793,1.119918,0.866478,0.033459,0.022791,0.102513
3768,1,3-2,0.38534,1.121383,0.887482,0.035228,0.024708,0.102431
3014,1,2-2,0.343964,1.121539,0.926033,0.021371,0.012293,0.067722
3206,1,2-2,0.32666,1.12238,0.977784,0.01047,0.006871,0.033854
2181,3,3-2,0.363727,1.122658,0.890488,0.028129,0.020582,0.086861
4078,2,2-2,0.394659,1.123897,0.922665,0.031155,0.028882,0.086048
2380,1,3-2,0.416232,1.124267,0.88258,0.044038,0.039744,0.1156
3343,1,2-2,0.398052,1.12497,0.925943,0.03127,0.025805,0.083628
2584,1,3-2,0.324472,1.12498,0.982459,0.008524,0.00773,0.026885
4802,3,2-2,0.361078,1.126125,0.929234,0.024353,0.015383,0.073716
3738,3,3-2,0.37186,1.128,0.953129,0.021335,0.0185,0.059591
2549,3,2-2,0.35244,1.128293,0.958717,0.016402,0.011599,0.050057
4771,3,2-2,0.457364,1.128381,0.935549,0.037454,0.028683,0.087081
2478,3,3-2,0.369796,1.129094,0.913413,0.026787,0.021421,0.079738
4158,3,3-2,0.39394,1.129317,0.904388,0.034251,0.027533,0.09676
3657,3,3-2,0.351714,1.130434,0.98327,0.010731,0.008516,0.032194
2526,2,2-2,0.345695,1.131678,0.952791,0.016629,0.013812,0.049234
3242,2,3-2,0.346991,1.131959,0.960804,0.015824,0.01256,0.04712
3036,2,3-3,0.331988,1.133612,0.992386,0.00627,0.005093,0.019657
2788,2,2-2,0.378305,1.133756,0.841829,0.037552,0.023538,0.113604
2915,2,2-2,0.349016,1.134277,0.983337,0.010859,0.006577,0.03206
3508,1,3-3,0.365027,1.134811,0.931839,0.023417,0.015425,0.07025
3315,1,3-2,0.358681,1.13657,0.946988,0.020264,0.014077,0.060792
2575,3,3-2,0.39965,1.137424,0.83853,0.045392,0.036014,0.126227
4443,3,3-2,0.370389,1.137463,0.976815,0.014257,0.012505,0.040543
2691,2,3-3,0.339079,1.138198,0.981693,0.010322,0.006343,0.031958
2177,1,2-2,0.356341,1.138556,0.983549,0.0108,0.009366,0.031691
2439,2,3-3,0.356048,1.141153,0.962206,0.015555,0.012276,0.046496
3680,3,3-2,0.364186,1.141241,0.977832,0.013356,0.011086,0.039115
2427,3,2-2,0.372147,1.14193,0.89083,0.027034,0.019404,0.08128
3062,1,3-2,0.374381,1.144921,0.945207,0.021494,0.019047,0.061199
3387,3,3-2,0.356833,1.145115,0.941665,0.021066,0.011443,0.063799
3012,1,3-3,0.379647,1.145425,0.938957,0.023993,0.019313,0.067014
2180,2,3-2,0.385194,1.148087,0.969668,0.018064,0.016362,0.047951
2968,2,3-2,0.371323,1.149179,0.933718,0.022022,0.018046,0.064556
3926,2,3-1,0.369553,1.150072,0.933573,0.023704,0.01708,0.070395
3107,3,3-3,0.382983,1.150835,0.928428,0.026836,0.0212,0.073655
3232,1,2-2,0.386722,1.152503,0.913384,0.030168,0.020292,0.085567
2323,2,3-3,0.364456,1.152871,0.971213,0.014519,0.01222,0.041914
3458,1,2-2,0.384897,1.153377,0.953067,0.022573,0.019631,0.059693
2663,3,3-3,0.38404,1.153922,0.933603,0.02498,0.019765,0.07083
3421,2,3-2,0.355854,1.154022,0.98152,0.011184,0.009691,0.032714
2568,2,2-2,0.337166,1.154141,0.987098,0.008062,0.006424,0.024186
4886,3,3-2,0.378085,1.154159,0.975974,0.014854,0.012058,0.041497
2168,2,3-3,0.358655,1.155876,0.979826,0.011816,0.009663,0.034386
3359,2,3-2,0.414317,1.157307,0.892227,0.039692,0.030732,0.106409
2253,2,2-2,0.360593,1.157563,0.960808,0.015768,0.012824,0.046679
3134,1,3-3,0.390971,1.157849,0.944217,0.024133,0.020038,0.066654
2917,1,3-2,0.389166,1.157906,0.894466,0.031594,0.02278,0.090544
3045,1,3-3,0.374203,1.157924,0.945415,0.021309,0.014092,0.061561
3041,2,3-2,0.37103,1.157952,0.947808,0.020237,0.016114,0.056803
3917,1,2-2,0.402414,1.157976,0.94081,0.026914,0.023746,0.072076
2362,2,3-2,0.39709,1.158466,0.928028,0.028268,0.025764,0.076524
2316,2,2-2,0.395602,1.15849,0.953139,0.022786,0.020781,0.061255
2669,3,2-2,0.38454,1.15851,0.943593,0.023291,0.020551,0.064261
3365,2,3-2,0.347129,1.158587,0.977963,0.011618,0.008242,0.035107
4908,3,3-2,0.404562,1.158768,0.948199,0.02609,0.021302,0.070816
2314,1,2-2,0.381676,1.1592,0.90716,0.02914,0.018452,0.084671
2301,2,2-2,0.395946,1.159363,0.959733,0.021428,0.020093,0.057761
3236,1,2-2,0.383585,1.159775,0.962678,0.018679,0.016486,0.052087
2944,2,3-2,0.371761,1.160706,0.933204,0.022037,0.017769,0.062771
3330,3,3-3,0.390115,1.160867,0.905885,0.03076,0.024079,0.086262
2340,2,3-2,0.363096,1.161054,0.9724,0.013656,0.011883,0.038806
2095,3,3-2,0.390297,1.161218,0.970882,0.017701,0.015396,0.047453
2614,3,3-3,0.397444,1.161241,0.909144,0.031512,0.024778,0.087182
4785,2,2-2,0.355169,1.162176,0.994307,0.006307,0.005741,0.018119
2235,2,2-2,0.377013,1.162331,0.91083,0.02708,0.016724,0.079234
3574,3,3-2,0.413771,1.16266,0.850952,0.047581,0.032495,0.130464
2793,2,2-2,0.356637,1.163308,0.97792,0.012053,0.008331,0.035355
2839,2,3-2,0.396249,1.163323,0.959739,0.021411,0.01938,0.055872
2770,2,2-2,0.372534,1.164026,0.961452,0.01817,0.015498,0.050256
4314,3,3-2,0.354974,1.164182,0.981958,0.010958,0.008415,0.031576
3328,2,3-2,0.398678,1.165445,0.93868,0.026483,0.021105,0.072657
3615,1,3-2,0.38848,1.165847,0.952378,0.021916,0.016505,0.060634
2615,3,2-2,0.386635,1.16679,0.965341,0.018739,0.01729,0.049709
2898,2,3-2,0.377735,1.169353,0.93787,0.021564,0.017895,0.061252
3194,2,2-2,0.375497,1.169875,0.961506,0.018027,0.013806,0.051233
2431,2,3-1,0.368197,1.173134,0.955225,0.016999,0.013631,0.048569
2910,2,3-3,0.376883,1.174378,0.974631,0.014582,0.011974,0.040161
3406,3,3-2,0.439461,1.174655,0.916963,0.039339,0.036473,0.096162
3397,2,2-2,0.32706,1.174692,0.987402,0.007666,0.00546,0.023466
3368,1,2-2,0.367194,1.17497,0.980329,0.011767,0.009518,0.033829
3596,3,2-2,0.342472,1.17561,0.98336,0.009666,0.006763,0.028307
3061,1,3-1,0.395371,1.178259,0.920403,0.028371,0.019789,0.078021
4660,2,3-1,0.374122,1.178436,0.955535,0.018648,0.011964,0.053775
3850,2,2-2,0.363049,1.178534,0.990126,0.008407,0.007732,0.023902
2854,1,3-2,0.384055,1.179211,0.907094,0.026442,0.018476,0.07596
2794,3,3-2,0.358408,1.182395,0.985183,0.009536,0.007552,0.027603
3651,3,3-2,0.393536,1.18266,0.96523,0.019139,0.016021,0.050883
2249,1,3-2,0.403088,1.184699,0.959786,0.02137,0.019879,0.055725
2784,3,3-3,0.392718,1.185224,0.951419,0.022306,0.019338,0.058513
4028,2,3-2,0.392723,1.186345,0.963267,0.018933,0.016972,0.051517
2110,2,3-2,0.341862,1.187467,0.986304,0.008021,0.005645,0.023867
2061,3,3-3,0.334827,1.187724,0.992003,0.005802,0.004083,0.017668
2275,2,2-2,0.39242,1.188272,0.948865,0.021689,0.018236,0.058701
3751,2,2-2,0.349061,1.188908,0.987276,0.008613,0.00666,0.024868
4166,2,3-2,0.429495,1.190602,0.872387,0.045437,0.038503,0.116691
3439,2,3-2,0.369423,1.191301,0.969116,0.015321,0.009282,0.043919
2879,2,3-2,0.365742,1.192133,0.967273,0.013618,0.010605,0.038888
2265,3,2-2,0.394784,1.192327,0.958902,0.020529,0.0169,0.05493
3288,2,3-3,0.36833,1.193269,0.983216,0.010815,0.00908,0.030007
4109,3,3-2,0.411545,1.193309,0.898194,0.03541,0.027858,0.094138
2062,2,3-2,0.389607,1.194685,0.96729,0.017566,0.015248,0.04625
4565,3,3-2,0.385057,1.195219,0.977916,0.014112,0.011678,0.038807
4681,2,2-2,0.400724,1.195939,0.980729,0.014688,0.014167,0.038189
2956,2,3-3,0.383017,1.196267,0.974735,0.014503,0.01188,0.039414
2299,2,2-2,0.405269,1.19677,0.977467,0.01618,0.014453,0.041659
2789,2,2-2,0.38049,1.19788,0.955483,0.017496,0.01397,0.049023
2244,1,3-2,0.392959,1.198861,0.952248,0.021239,0.017731,0.057391
2800,2,2-2,0.407854,1.19889,0.935324,0.027246,0.018906,0.072358
3161,2,2-2,0.411368,1.199348,0.986423,0.013203,0.012477,0.033608
3745,2,3-2,0.415841,1.199844,0.955689,0.024259,0.022591,0.062074
3200,1,2-2,0.392188,1.199916,0.973691,0.015815,0.013872,0.042345
3367,3,2-2,0.415309,1.200318,0.920499,0.031829,0.024723,0.083842
2630,1,3-2,0.368015,1.20078,0.963492,0.015329,0.011972,0.042186
3173,1,2-2,0.358848,1.200913,0.98309,0.011057,0.008536,0.032007
3876,1,2-2,0.401279,1.201888,0.959538,0.020764,0.017271,0.054333
3720,1,3-2,0.415814,1.202593,0.905613,0.034318,0.024233,0.091075
4157,2,3-2,0.431928,1.203031,0.928398,0.033742,0.029004,0.085348
3464,3,3-2,0.385894,1.203482,0.987128,0.010898,0.007438,0.029062
2078,1,3-2,0.337816,1.203486,0.988693,0.006946,0.004594,0.020548
3567,3,2-2,0.39093,1.203656,0.904898,0.029944,0.017536,0.084315
2104,1,3-2,0.428372,1.203676,0.981067,0.017118,0.014643,0.042795
2631,2,3-2,0.410179,1.203702,0.937174,0.026482,0.019139,0.069392
4038,3,2-2,0.383232,1.2041,0.975765,0.014642,0.011728,0.039153
2818,2,3-2,0.406679,1.204281,0.916578,0.029377,0.020724,0.078969
2232,2,3-2,0.380057,1.205265,0.973461,0.014422,0.010937,0.039034
3259,1,2-2,0.392629,1.206198,0.945591,0.021513,0.014154,0.059015
3541,3,2-2,0.392455,1.206505,0.964101,0.018856,0.013958,0.051493
2755,2,2-2,0.388701,1.206741,0.968422,0.017682,0.014284,0.045972
2970,1,2-2,0.373333,1.207016,0.953304,0.016951,0.012784,0.046436
4735,2,2-2,0.44603,1.207146,0.875884,0.048919,0.035807,0.122299
3942,2,3-2,0.469809,1.208333,0.939277,0.037453,0.034893,0.084269
2708,2,2-2,0.394925,1.209412,0.951076,0.020825,0.016053,0.05663
3628,1,2-2,0.384281,1.21091,0.989775,0.009761,0.008731,0.025837
2268,1,3-3,0.385087,1.21099,0.957905,0.018291,0.012709,0.050251
2226,1,2-2,0.385718,1.211105,0.956685,0.01773,0.012156,0.048991
2342,3,3-2,0.375556,1.211939,0.978496,0.011933,0.010053,0.033101
2368,2,2-2,0.382266,1.212781,0.979547,0.012276,0.010673,0.032953
3237,1,2-2,0.392418,1.212971,0.913412,0.027993,0.016236,0.077261
2266,2,2-2,0.38667,1.213212,0.976725,0.013992,0.009716,0.038229
3497,1,2-2,0.358408,1.213898,0.988319,0.008592,0.007126,0.024084
2702,3,3-2,0.410649,1.215161,0.958768,0.021147,0.016478,0.05476
3647,2,2-2,0.413016,1.215975,0.866671,0.041081,0.025284,0.110406
4123,3,3-2,0.403989,1.217929,0.975884,0.015944,0.014293,0.041759
2102,2,3-2,0.383362,1.218866,0.970712,0.014545,0.011789,0.039652
2545,1,2-2,0.384492,1.221638,0.979577,0.012319,0.010975,0.033198
2155,1,2-2,0.432363,1.222191,0.916639,0.034273,0.028842,0.084835
3584,3,2-2,0.40686,1.222939,0.978917,0.015284,0.011469,0.039484
2247,3,3-3,0.366216,1.223342,0.988868,0.009006,0.005923,0.025089
3607,3,3-2,0.366717,1.223689,0.997636,0.00414,0.003308,0.01148
3154,2,3-3,0.421209,1.225902,0.941561,0.02725,0.022768,0.068372
3887,2,3-2,0.454967,1.226319,0.960377,0.027838,0.02347,0.06363
3697,2,2-2,0.385404,1.227909,0.971983,0.015489,0.009482,0.042409
3361,2,3-2,0.378061,1.229227,0.963034,0.016301,0.009401,0.046187
3311,1,2-2,0.345967,1.229611,0.967518,0.013136,0.008202,0.037193
3773,3,3-2,0.374463,1.229852,0.977816,0.012765,0.010255,0.034351
3514,2,2-2,0.373646,1.229862,0.996996,0.004786,0.003983,0.013075
3448,2,2-2,0.372463,1.229867,0.982114,0.011004,0.006822,0.030583
4336,3,2-2,0.435252,1.23079,0.905695,0.038461,0.031129,0.09557
3591,3,3-2,0.455922,1.231508,0.965074,0.026112,0.023427,0.060202
3115,1,2-2,0.424019,1.231973,0.944459,0.026184,0.022452,0.065971
4318,3,2-2,0.412369,1.232253,0.963785,0.019751,0.017168,0.050634
2405,1,2-2,0.392156,1.232747,0.970544,0.015443,0.012613,0.040356
4329,2,2-2,0.367324,1.233598,0.987299,0.008929,0.006188,0.024742
2514,1,2-2,0.43584,1.233719,0.878925,0.040728,0.029618,0.103459
2851,2,2-2,0.399216,1.233856,0.96015,0.018479,0.013543,0.049154
3030,1,3-2,0.404791,1.234131,0.960154,0.018491,0.014185,0.048649
4353,2,3-2,0.405938,1.234618,0.94768,0.02216,0.015736,0.058567
3019,1,3-2,0.40911,1.234667,0.951507,0.02113,0.016085,0.055185
3550,2,3-3,0.393519,1.236419,0.938514,0.022386,0.013042,0.061168
3847,1,3-1,0.446332,1.236474,0.796366,0.061056,0.03983,0.154248
4364,3,3-2,0.433381,1.236875,0.979788,0.017587,0.015001,0.042036
4698,3,3-3,0.410403,1.237178,0.97669,0.015904,0.012964,0.041119
2227,2,3-1,0.357502,1.237545,0.983083,0.009942,0.006659,0.027548
3174,1,2-2,0.434415,1.238116,0.944851,0.028631,0.021241,0.070767
3666,1,2-2,0.365025,1.238157,0.995495,0.005092,0.003198,0.01435
2827,2,3-2,0.403624,1.238412,0.916307,0.027762,0.016367,0.074226
3168,2,2-2,0.440182,1.238809,0.95125,0.028418,0.024368,0.066672
2008,1,2-2,0.420767,1.240742,0.880263,0.037765,0.023142,0.099636
3760,2,3-2,0.411529,1.241689,0.925193,0.028789,0.0177,0.075196
3425,2,3-2,0.377441,1.24182,0.937486,0.023786,0.015854,0.062437
4936,3,3-2,0.415061,1.242364,0.946442,0.024364,0.016173,0.063345
2950,1,3-1,0.386407,1.242625,0.983727,0.010618,0.008919,0.028456
2330,2,3-2,0.437569,1.242917,0.978409,0.018435,0.017476,0.043892
2653,3,3-2,0.383058,1.243134,0.994594,0.00631,0.005712,0.016947
4859,3,2-2,0.416135,1.243781,0.964947,0.020346,0.014981,0.0514
2020,2,2-2,0.409395,1.243906,0.957938,0.019917,0.017044,0.051127
3805,2,3-2,0.410516,1.244215,0.980909,0.014329,0.012761,0.036742
3071,1,3-2,0.380656,1.244645,0.98156,0.011264,0.007267,0.030821
3235,1,3-2,0.393569,1.244902,0.991357,0.008716,0.006968,0.022905
2768,1,2-2,0.439396,1.24519,0.853931,0.044757,0.028762,0.113167
2331,3,2-2,0.426377,1.248232,0.973926,0.018056,0.015903,0.044175
2124,1,2-2,0.393673,1.248328,0.980943,0.013225,0.008867,0.034447
3296,1,2-2,0.375081,1.249862,0.987786,0.009374,0.006904,0.025387
4905,2,3-2,0.445232,1.250053,0.96719,0.023445,0.01781,0.055626
3389,3,2-2,0.373075,1.250344,0.977838,0.012991,0.00931,0.03457
3431,3,2-2,0.380121,1.250407,0.987604,0.009775,0.007035,0.026001
3473,3,3-2,0.422474,1.252057,0.966437,0.019872,0.016587,0.049848
2909,3,3-2,0.435992,1.252514,0.91656,0.032903,0.026066,0.08043
3245,1,3-2,0.422866,1.253017,0.95613,0.022416,0.016336,0.056557
4758,2,3-1,0.432052,1.253165,0.898262,0.038551,0.024778,0.097294
3841,3,2-2,0.443115,1.253734,0.933258,0.032443,0.02381,0.079718
2373,2,2-2,0.360399,1.254222,0.988772,0.007999,0.007038,0.022232
2860,1,3-3,0.435417,1.254907,0.967415,0.021246,0.019793,0.05084
2707,2,3-2,0.421619,1.256435,0.93502,0.025448,0.017435,0.064903
3250,1,3-1,0.437564,1.256609,0.925035,0.032479,0.022479,0.080573
3002,2,2-2,0.422398,1.256758,0.960688,0.022386,0.017552,0.054071
4033,2,3-1,0.443432,1.258044,0.95866,0.025179,0.021694,0.060429
4358,3,3-2,0.467988,1.258218,0.928307,0.038925,0.03517,0.090014
3723,1,3-2,0.449323,1.258296,0.958456,0.026287,0.023687,0.061775
3196,1,2-2,0.424882,1.259122,0.986848,0.013121,0.011194,0.031982
2830,1,2-2,0.353065,1.259696,0.983922,0.008194,0.004712,0.023009
3065,3,3-2,0.41245,1.260801,0.970445,0.01665,0.013129,0.04198
3815,2,3-2,0.413037,1.260835,0.962934,0.019825,0.012845,0.051105
3304,2,2-2,0.376902,1.260854,0.984511,0.010602,0.005401,0.028333
4940,2,2-2,0.408231,1.261217,0.959181,0.019769,0.012259,0.051335
2578,1,3-2,0.436008,1.261891,0.966536,0.021528,0.018594,0.051195
4356,3,3-2,0.447039,1.261961,0.931291,0.03328,0.028117,0.079119
3009,1,3-2,0.412261,1.262443,0.974435,0.016013,0.01276,0.040299
2995,2,2-2,0.42873,1.262863,0.925927,0.02946,0.021682,0.072757
4032,2,3-2,0.392588,1.263596,0.975605,0.014607,0.008371,0.038766
3725,2,2-2,0.378986,1.264198,0.990279,0.007918,0.005387,0.021663
2229,2,2-2,0.390424,1.267337,0.981026,0.011024,0.008026,0.029438
2593,1,2-2,0.440956,1.267571,0.961417,0.024005,0.017569,0.057926
4008,3,3-2,0.428568,1.268014,0.966167,0.021068,0.014857,0.051998
4376,2,3-2,0.386666,1.268401,0.988681,0.009657,0.006363,0.025973
4321,2,3-2,0.4235,1.270131,0.949724,0.024945,0.015819,0.063653
3229,2,3-2,0.41939,1.270625,0.97097,0.018482,0.014218,0.046023
2465,2,2-2,0.427557,1.271881,0.943766,0.024306,0.018367,0.060666
2053,1,2-2,0.403261,1.272292,0.982463,0.012771,0.010662,0.032576
3606,1,3-2,0.388255,1.27237,0.984267,0.010084,0.007528,0.026936
3140,2,3-3,0.400539,1.272673,0.988241,0.010148,0.00739,0.025895
4168,2,2-2,0.407099,1.27387,0.976035,0.014631,0.00944,0.037597
3090,2,3-3,0.411832,1.2746,0.97869,0.014778,0.011484,0.036474
3326,1,3-2,0.427278,1.274807,0.958643,0.021877,0.015509,0.054131
3253,1,3-2,0.375319,1.275542,0.991536,0.007373,0.00502,0.019961
4366,2,3-2,0.460787,1.275618,0.964106,0.026166,0.023022,0.060382
2111,1,2-2,0.425881,1.276978,0.978872,0.016018,0.014292,0.038442
4880,3,3-3,0.410371,1.277783,0.994058,0.00784,0.006663,0.019818
4056,3,3-2,0.419917,1.279348,0.970838,0.017462,0.013219,0.044005
2597,1,2-2,0.427118,1.27983,0.974374,0.017044,0.013821,0.041544
2145,2,3-2,0.429386,1.279967,0.924275,0.029702,0.01857,0.074786
2565,3,3-2,0.422495,1.280345,0.985908,0.012622,0.010827,0.03107
3455,1,2-2,0.405447,1.280354,0.9801,0.012977,0.010008,0.033296
4090,2,2-2,0.414121,1.280925,0.993533,0.008435,0.00715,0.020993
3921,2,3-1,0.42396,1.28127,0.985339,0.012936,0.011076,0.031823
2993,2,3-2,0.431953,1.282351,0.970769,0.019661,0.014844,0.047467
2797,3,2-2,0.459489,1.282381,0.936586,0.032936,0.028002,0.076367
2122,2,3-3,0.426457,1.282573,0.929739,0.027706,0.017016,0.06941
3102,2,2-2,0.420416,1.282742,0.953683,0.021798,0.013612,0.05495
3185,1,2-2,0.390231,1.28297,0.97637,0.012829,0.008478,0.033355
3911,1,3-1,0.430489,1.283299,0.953139,0.024003,0.015915,0.059352
2989,3,2-2,0.457728,1.284091,0.964664,0.025134,0.020883,0.058047
3639,3,2-2,0.41667,1.284246,0.988868,0.01097,0.008202,0.027329
3633,1,3-2,0.408221,1.284379,0.971462,0.016294,0.011825,0.04089
3624,2,3-3,0.415065,1.285068,0.932591,0.0252,0.014278,0.065099
2040,2,3-3,0.429972,1.285262,0.984406,0.01387,0.011834,0.033609
4019,2,2-2,0.399595,1.287504,0.986702,0.0109,0.007961,0.027877
3983,2,2-2,0.399313,1.28943,0.970813,0.01654,0.010909,0.04287
2407,1,2-2,0.419706,1.290685,0.975057,0.015456,0.012129,0.03864
4096,2,3-3,0.459505,1.293262,0.950244,0.030134,0.023365,0.068877
2960,1,2-2,0.432775,1.293828,0.959143,0.020344,0.017243,0.04903
2278,3,3-2,0.405656,1.295122,0.985845,0.010175,0.007525,0.025986
3791,2,2-2,0.416693,1.295624,0.937524,0.024236,0.0135,0.062322
3215,1,3-2,0.436431,1.296276,0.971997,0.020531,0.017874,0.047572
4622,2,3-2,0.422289,1.297484,0.987743,0.011684,0.009938,0.028531
2866,2,3-1,0.409167,1.299384,0.984445,0.012146,0.009556,0.029792
3052,1,3-2,0.421634,1.300996,0.969219,0.018273,0.013123,0.044087
2313,3,3-2,0.409308,1.30273,0.965765,0.016942,0.011745,0.041969
3398,2,2-2,0.389928,1.306181,0.992034,0.008077,0.005836,0.021001
3658,2,3-2,0.411796,1.306294,0.97349,0.015208,0.009122,0.039221
2952,1,2-2,0.427915,1.306479,0.979711,0.01393,0.010025,0.033874
4155,2,3-2,0.404713,1.30659,0.996627,0.005332,0.004546,0.013536
3903,2,3-2,0.429631,1.307235,0.990557,0.010457,0.009515,0.025254
3414,2,3-1,0.411963,1.307361,0.988365,0.010364,0.007156,0.026117
4127,2,3-1,0.43779,1.309146,0.973869,0.017627,0.01552,0.042167
3072,2,2-2,0.420457,1.30918,0.983866,0.0119,0.009968,0.029399
3556,3,3-2,0.425345,1.310122,0.964417,0.019874,0.015214,0.047201
2071,1,2-2,0.416748,1.31092,0.983506,0.012782,0.009002,0.031831
2279,2,3-1,0.404887,1.311123,0.992979,0.007202,0.005665,0.018262
3503,2,3-2,0.430337,1.311171,0.98662,0.012737,0.010804,0.03036
3363,2,2-2,0.43592,1.31161,0.985138,0.013402,0.010881,0.031959
3898,3,3-3,0.379682,1.312128,0.997145,0.004039,0.002488,0.010814
2399,3,3-2,0.414918,1.312229,0.927367,0.025549,0.012656,0.06552
2433,1,2-2,0.409202,1.312547,0.989018,0.009783,0.008376,0.024053
2485,1,3-1,0.446137,1.312622,0.902562,0.032251,0.019109,0.078255
4137,3,3-2,0.384172,1.31299,0.970274,0.014453,0.008277,0.037479
2868,1,2-2,0.42952,1.3149,0.968925,0.017373,0.011321,0.042554
3764,3,2-2,0.444797,1.31509,0.941526,0.026784,0.017421,0.064567
4149,2,2-2,0.418381,1.315261,0.99147,0.009367,0.006258,0.022841
3155,1,2-2,0.442861,1.317461,0.992207,0.010503,0.009021,0.024261
2835,1,3-2,0.460627,1.317529,0.950434,0.027397,0.020297,0.063013
3994,2,3-1,0.382049,1.317535,0.989813,0.008303,0.006091,0.02168
2994,1,2-2,0.422375,1.318354,0.987399,0.011328,0.008408,0.027612
3203,1,3-1,0.432019,1.320494,0.988023,0.012073,0.008824,0.028831
3327,3,3-2,0.413323,1.320842,0.991341,0.009093,0.006692,0.02243
2984,2,3-2,0.404845,1.323474,0.972446,0.013921,0.008222,0.035577
3205,1,2-2,0.380869,1.323569,0.99136,0.007479,0.005367,0.019943
3225,1,2-2,0.438652,1.325184,0.972962,0.017197,0.013564,0.04117
3709,3,2-2,0.443999,1.325516,0.899603,0.036446,0.020626,0.088336
3393,3,3-3,0.419223,1.326143,0.990095,0.009545,0.007179,0.023497
2711,2,2-2,0.413756,1.327227,0.969291,0.016692,0.009686,0.041731
3082,2,2-2,0.453455,1.328228,0.965553,0.022108,0.015943,0.051124
3055,1,3-2,0.452119,1.328371,0.969414,0.02026,0.015411,0.046819
4050,2,2-2,0.385878,1.328711,0.986241,0.009763,0.005588,0.025345
3156,2,2-2,0.457385,1.330729,0.951777,0.027241,0.018845,0.062016
3340,2,3-3,0.462107,1.330823,0.97995,0.017965,0.015792,0.040576
3226,1,3-1,0.443925,1.331821,0.982834,0.014691,0.011615,0.034696
4311,2,3-3,0.457257,1.331942,0.988639,0.013819,0.011944,0.031507
3908,3,3-3,0.419313,1.332951,0.990691,0.009405,0.006886,0.023386
2585,2,3-3,0.431711,1.332964,0.983885,0.011794,0.009918,0.028305
3020,1,3-3,0.427932,1.334559,0.979719,0.014067,0.008792,0.034106
2248,1,3-1,0.460267,1.334899,0.886272,0.03918,0.02343,0.092053
2650,1,2-2,0.412769,1.33495,0.979837,0.012707,0.009041,0.030833
3597,2,2-2,0.46324,1.335045,0.987166,0.015262,0.012368,0.034139
2552,2,3-2,0.455238,1.335183,0.976589,0.017787,0.016519,0.040409
3419,1,3-1,0.445867,1.335944,0.948732,0.024412,0.015407,0.058054
2435,2,2-2,0.438864,1.336312,0.964488,0.018024,0.011782,0.043128
2285,1,3-2,0.4859,1.337349,0.936899,0.035803,0.031214,0.07701
2305,3,3-2,0.429637,1.338327,0.98457,0.012066,0.010336,0.028806
2035,1,2-2,0.416985,1.338881,0.99301,0.008216,0.005252,0.019989
2434,2,3-1,0.424192,1.339106,0.989869,0.009263,0.007745,0.022377
3660,3,2-2,0.4477,1.339596,0.945715,0.025781,0.015956,0.06134
4113,3,3-2,0.467274,1.340776,0.979455,0.018852,0.015662,0.042301
2406,3,2-2,0.411348,1.342513,0.995002,0.006136,0.004664,0.015217
4799,2,2-2,0.451631,1.342947,0.96682,0.021008,0.014179,0.049019
2137,2,3-2,0.408741,1.343238,0.982318,0.012998,0.009217,0.032286
3682,1,3-2,0.442189,1.3435,0.91854,0.02972,0.016224,0.071763
2751,2,2-2,0.382738,1.343825,0.991658,0.007133,0.004094,0.018607
4327,3,3-1,0.458751,1.345055,0.946986,0.027995,0.01829,0.065106
3266,1,2-2,0.41362,1.34582,0.993802,0.007495,0.005659,0.01835
2648,1,2-2,0.487192,1.34822,0.936493,0.035054,0.026207,0.076313
3569,3,2-2,0.441212,1.349907,0.991953,0.010293,0.007497,0.024106
3570,2,3-1,0.413672,1.351291,0.995444,0.006298,0.00446,0.015544
3054,2,3-2,0.423423,1.351515,0.993944,0.007631,0.00592,0.018411
2692,3,3-2,0.473376,1.351934,0.954448,0.025715,0.019738,0.057225
2579,2,3-2,0.431595,1.352507,0.993286,0.007797,0.007064,0.018518
3781,1,3-1,0.446791,1.353524,0.97025,0.019106,0.011997,0.04468
4821,1,3-2,0.444783,1.353699,0.958559,0.022095,0.013215,0.052586
2466,2,3-3,0.391076,1.35513,0.993053,0.006471,0.00457,0.016573
3638,2,2-2,0.456768,1.355584,0.991814,0.010892,0.009752,0.0246
2871,2,2-2,0.430548,1.357964,0.983759,0.01153,0.008214,0.02764
3747,3,3-2,0.440111,1.358649,0.985787,0.012822,0.008227,0.030306
3346,1,3-1,0.494835,1.359122,0.929887,0.039624,0.029366,0.085094
3750,2,3-2,0.491653,1.360693,0.891217,0.048678,0.033542,0.106482
2938,1,2-2,0.413121,1.361375,0.983725,0.010792,0.007117,0.026124
2515,1,2-2,0.466543,1.361787,0.959865,0.024085,0.019149,0.054051
2954,2,3-2,0.445793,1.361859,0.966943,0.01758,0.011128,0.041268
3736,2,2-2,0.44952,1.361874,0.99239,0.010026,0.008665,0.022736
2292,1,3-2,0.449113,1.362389,0.987179,0.012755,0.010597,0.029194
