Speaker No.,Gender,Education,a,b,R^2,RMSE,MAE
1632,FEMALE,2,0.335571,1.07922,0.98522,0.009906,0.008257
1107,FEMALE,2,0.430001,1.325398,0.977784,0.013001,0.010076
1301,FEMALE,3,0.626927,2.370893,0.986771,0.019126,0.01726
1165,MALE,2,0.465415,1.415035,0.981747,0.01397,0.010578
1114,FEMALE,2,0.693106,2.358763,0.991486,0.021003,0.018356
1039,MALE,3,0.399175,1.272522,0.976079,0.011873,0.009289
1260,FEMALE,2,0.371814,1.248145,0.970695,0.011237,0.007321
1204,FEMALE,3,0.351948,1.192557,0.974639,0.01031,0.006801
1018,FEMALE,3,0.454801,1.379797,0.978608,0.013227,0.00991
1442,FEMALE,2,0.441438,1.340872,0.987905,0.01269,0.009965
1098,FEMALE,2,0.447708,1.377725,0.976188,0.012973,0.00818
1516,MALE,2,0.359399,1.216364,0.980386,0.01043,0.006801
1357,FEMALE,2,0.5419,2.18222,0.977295,0.016164,0.011965
1429,MALE,2,0.477937,1.733601,0.981278,0.014092,0.010622
1389,FEMALE,2,0.310525,1.094795,0.980499,0.008724,0.007261
1381,FEMALE,2,0.373553,1.313063,0.976283,0.011064,0.006305
1181,MALE,2,0.547123,1.760115,0.98485,0.015852,0.009221
1505,MALE,2,0.505328,1.647532,0.986331,0.014497,0.009534
1213,MALE,3,0.566803,1.695894,0.991078,0.015465,0.011879
1019,MALE,3,0.528883,1.788531,0.982081,0.015179,0.007646
1304,MALE,3,0.700044,2.481329,0.99218,0.019442,0.017139
1691,MALE,3,0.331014,0.998522,0.990144,0.008509,0.007291
1141,MALE,3,0.434958,1.352549,0.978642,0.011946,0.008998
1635,FEMALE,2,0.503149,1.499027,0.991499,0.013201,0.010878
1138,FEMALE,2,0.436572,1.342393,0.982287,0.011737,0.00945
1368,MALE,3,0.557703,2.077523,0.986601,0.015167,0.013875
1360,MALE,2,0.35214,1.151962,0.986246,0.009355,0.007266
1501,FEMALE,1,0.508639,1.508524,0.988106,0.013636,0.011103
1699,MALE,1,0.495695,1.497401,0.99102,0.013275,0.010177
1597,MALE,3,0.637077,2.017214,0.992712,0.016951,0.012614
1602,FEMALE,1,0.447646,1.432135,0.984103,0.012148,0.007706
1428,MALE,2,0.416324,1.346346,0.984877,0.011248,0.008411
1259,FEMALE,2,0.430477,1.369939,0.981363,0.011264,0.006794
1007,FEMALE,2,0.334976,1.101967,0.987573,0.008715,0.006832
1108,MALE,2,0.422264,1.31736,0.983375,0.011,0.009765
1320,FEMALE,1,0.482033,1.561478,0.984128,0.012941,0.007162
1367,FEMALE,2,0.365719,1.213065,0.983954,0.009508,0.006456
1008,FEMALE,1,0.510032,1.693228,0.987639,0.01353,0.008907
1477,MALE,2,0.403442,1.317357,0.983072,0.01036,0.006339
1028,MALE,3,0.387161,1.279327,0.977872,0.009986,0.007194
