Speaker No.,Gender,Education,a,b,R^2,RMSE,MAE
1155,FEMALE,2,0.611319,2.205024,0.996054,0.006917,0.004736
1214,FEMALE,2,0.542122,1.747563,0.996548,0.005954,0.002987
1225,FEMALE,1,0.502723,1.650371,0.996378,0.005509,0.002735
1415,FEMALE,1,0.440755,1.431028,0.99671,0.004631,0.003724
1409,FEMALE,2,0.527355,1.75879,0.996561,0.005588,0.002655
1574,MALE,1,0.574725,1.865226,0.998231,0.005931,0.004934
1031,FEMALE,3,0.511003,1.723301,0.997249,0.004986,0.00305
1209,MALE,2,0.402339,1.369349,0.997748,0.003366,0.002785
1345,MALE,3,0.481174,1.590643,0.998594,0.003867,0.003144
1051,MALE,2,0.586373,1.925726,0.998052,0.004721,0.002195
1235,FEMALE,3,0.512991,1.664172,0.998009,0.004053,0.002194
1447,FEMALE,3,0.539365,1.76462,0.998667,0.004131,0.002586
1060,FEMALE,1,0.506956,1.565757,0.999113,0.003736,0.002956
